oes 2019,oes 2019 title,abstract analytical,abstract interpersonal,nonroutine manual,routine cognitive,routine manual,abstract routine difference,"automation risk category (1 low, 10 high)"
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.341897159,-0.012835203,-0.458754111,-0.849863781,-1.266898825,-2.930249079,7
51-3092.00,Food Batchmakers,-0.337601247,-0.841285456,-0.753697443,-1.328476016,-1.793530606,-5.054590768,9
51-3093.00,Food Cooking Machine Operators and Tenders,-0.57829951,-1.586865403,-0.396759089,0.991558625,-1.297355422,-2.867720799,7
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.938220614,-0.164701177,-0.652847404,-0.652807757,-1.833034522,-4.241611474,8
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.502401975,-0.478631717,-0.887317208,-0.366324349,-1.50088504,-3.735560289,8
51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-0.615582084,-0.453629879,-1.172695534,-0.55646592,-1.711783967,-4.510157384,8
51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-0.650219374,-0.967100015,-0.88320469,-0.179135967,-1.345369875,-4.025029921,8
51-4032.00,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.53221203,-0.635904299,-0.736169789,-0.84450389,-1.593002297,-4.341792304,8
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.176447871,-0.5388658,-0.851912408,-0.522665879,-1.684140172,-4.77403213,9
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.726667723,-0.711213596,-0.706522575,-0.668238416,-1.593952209,-4.406594519,8
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-1.213764809,-0.031738644,-0.777853161,-1.001212887,-1.335680747,-4.360250249,8
51-4041.00,Machinists,-0.786574858,-0.840530409,-0.985512907,-0.732585727,-1.971865537,-5.317069437,9
51-4051.00,Metal-Refining Furnace Operators and Tenders,-0.650618375,-0.160280145,-1.205664589,-0.549694315,-1.558012379,-4.124269803,8
51-4052.00,"Pourers and Casters, Metal",-0.426964839,-0.59967793,-1.163426133,-0.350057406,-1.125217364,-3.665343672,8
51-4061.00,"Model Makers, Metal and Plastic",-0.909122413,-1.009958552,-0.400761575,-1.413952241,-0.614410265,-4.348205047,8
51-4062.00,"Patternmakers, Metal and Plastic",-0.849906477,-1.039944878,-0.653897026,0.032518214,-1.279343854,-3.790574022,8
51-4071.00,Foundry Mold and Coremakers,-1.064035969,-0.799319553,-0.952424613,-0.246835698,-1.493132261,-4.555748094,9
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.079615252,-0.766673827,-0.790633474,-0.187525182,-1.540672327,-4.365120062,8
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.391002235,0.04053138,-0.88383427,-0.650845504,-1.229266701,-2.33241286,7
51-4111.00,Tool and Die Makers,-0.19334971,-1.288190452,-0.696281964,0.00297806,-0.760955798,-2.935799864,7
51-4121.00,"Welders, Cutters, Solderers, and Brazers",-0.933956393,-1.053473692,-0.715155311,-0.385956638,-0.795358361,-3.883900394,8
51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-0.739409897,-0.85504517,-0.915167448,-0.00520388,-1.151765829,-3.666592225,8
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-1.187287142,-0.432643636,-1.168400339,-0.720285368,-1.633126318,-5.141742804,9
51-4192.00,"Layout Workers, Metal and Plastic",-0.031886932,0.106067415,-0.959217451,-0.654249263,-0.964102245,-2.503388476,7
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.506929077,-0.407913393,-0.821568553,-0.693789112,-1.17271595,-3.602916086,8
51-4194.00,"Tool Grinders, Filers, and Sharpeners",-0.956892341,-1.122564763,-0.755460654,-0.260166367,-1.87247969,-4.967563816,9
51-5111.00,Prepress Technicians and Workers,0.048030613,-0.280314102,0.267644562,-0.702768814,-0.672845355,-1.340253097,6
51-5112.00,Printing Press Operators,-0.214328817,0.379483857,-0.85834207,-0.570033126,-1.762132889,-3.025353045,7
51-5113.00,Print Binding and Finishing Workers,-0.364373788,-0.545774905,-0.769416772,-0.648482964,-1.631921195,-3.959969624,8
51-6011.00,Laundry and Dry-Cleaning Workers,-2.001664121,-0.473568842,0.014040718,-0.279086496,-1.57160904,-4.311887781,8
51-6021.00,"Pressers, Textile, Garment, and Related Materials",-1.41134524,-2.024093822,-0.28225687,0.254985226,-1.497752534,-4.96046324,9
51-6031.00,Sewing Machine Operators,-1.54690143,-1.440126265,-0.454238413,-0.007884411,-1.229085421,-4.678235941,9
51-6041.00,Shoe and Leather Workers and Repairers,-1.845056604,-1.82166051,-0.052065939,0.186208156,-0.304726402,-3.837301299,8
51-6042.00,Shoe Machine Operators and Tenders,-1.235992871,-1.14381281,-0.253890325,-1.084394407,-1.711178573,-5.429268986,9
51-6051.00,"Sewers, Hand",-0.335728351,-0.892563731,-0.28013814,-0.049019893,-0.426535332,-1.983985448,7
51-6052.00,"Tailors, Dressmakers, and Custom Sewers",-1.00212827,-2.145617775,-0.320395749,-0.297759021,-1.252514828,-5.018415642,9
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,-0.875915598,-1.037818504,-0.154082919,0.03141443,-1.071649865,-3.108052456,7
51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",-0.963207486,-0.501525149,-0.604476752,-1.279782654,-1.35239102,-4.70138306,9
51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.865790206,-1.117111417,-0.281121599,-0.398032168,-1.602644799,-5.264700189,9
51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.314902481,-1.631727816,-0.513973148,-0.571575401,-1.514851723,-5.54703057,9
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.506511107,-0.636112098,-0.953076982,-0.192921995,-1.162135248,-3.450757429,8
51-6092.00,Fabric and Apparel Patternmakers,0.329715501,-0.647619401,0.111243347,-0.267466695,-0.108858837,-0.582986085,6
51-6093.00,Upholsterers,-0.804634977,-0.731925573,-1.055707161,0.174098845,-0.764233185,-3.182402052,8
51-7011.00,Cabinetmakers and Bench Carpenters,-0.214514304,-1.517435691,-0.976341646,0.052829202,-0.810043895,-3.465506335,8
51-7021.00,Furniture Finishers,-0.453125469,-0.242456735,-0.579225442,-0.097318761,-0.353774329,-1.725900737,7
51-7031.00,"Model Makers, Wood",0.198957143,-1.016922738,-0.520456718,0.121091758,-0.170535582,-1.387866137,6
51-7032.00,"Patternmakers, Wood",0.286889656,-1.226710542,-0.907178866,-0.53263349,-0.886052627,-3.265685869,8
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.640823815,-1.133749137,-0.881846235,-0.085976888,-1.6523411,-5.394737175,9
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-1.509272932,-1.866254743,-0.709572249,-0.594680825,-1.451794924,-6.131575673,10
51-8011.00,Nuclear Power Reactor Operators,-0.180752408,-0.133458386,0.25194047,-1.634224405,-0.297594093,-1.994088822,7
51-8012.00,Power Distributors and Dispatchers,0.151121547,0.236480916,-0.196090921,-0.856038302,-0.411431412,-1.075958171,6
51-8013.00,Power Plant Operators,-0.359229516,-0.305152416,-0.645637,-0.687278408,-0.68958988,-2.68688722,7
51-8013.03,Biomass Plant Technicians,-0.09070805,0.034922851,-0.654959001,-0.318848517,-1.056261692,-2.085854408,7
51-8013.04,Hydroelectric Plant Technicians,0.424741194,0.322615351,-1.132106966,-0.867348572,-0.995767612,-2.247866605,7
51-8021.00,Stationary Engineers and Boiler Operators,0.473863601,0.170279772,-0.735686065,-0.007379366,-0.934720002,-1.033642059,6
51-8031.00,Water and Wastewater Treatment Plant and System Operators,0.455779249,0.104419732,-0.412556465,-0.017891605,-0.521928414,-0.392177504,6
51-8091.00,Chemical Plant and System Operators,-1.061804907,-1.19578271,-0.346979341,-0.912316037,-1.376795861,-4.893678856,9
51-8092.00,Gas Plant Operators,-0.67430731,-1.357616748,-0.455298938,0.205022198,-0.281112071,-2.563312869,7
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.095131328,-0.20850176,-0.77235426,-0.218020633,-0.683447398,-1.977455378,7
51-8099.01,Biofuels Processing Technicians,-0.063417378,0.031254403,-1.066769011,-0.435776979,-1.259230016,-2.793938981,7
51-9011.00,Chemical Equipment Operators and Tenders,-0.068761453,0.359690989,-0.860466991,-0.513427615,-1.316769113,-2.399734182,7
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-0.901212563,-1.335919362,-0.627551364,0.518118745,-0.754360205,-3.100924749,7
51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-0.5666083,-0.252060429,-0.960710984,0.033151742,-1.245332845,-2.991560817,7
51-9022.00,"Grinding and Polishing Workers, Hand",-0.961627482,-0.641279464,-0.931492502,-0.244742996,-1.416621882,-4.195764326,8
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",-1.021152907,-0.870207446,-0.85165651,-0.572514842,-1.084828439,-4.400360143,8
51-9031.00,"Cutters and Trimmers, Hand",-1.418787751,-0.734167987,-0.480395238,-0.350376084,-0.861816689,-3.845543749,8
51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",-0.674806858,-0.171992246,-0.962030428,-0.836496561,-1.685969647,-4.33129574,8
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-0.528351983,-0.623793178,-0.641906049,-0.826405947,-1.575682494,-4.19613965,8
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-0.722789998,-0.779062587,-0.899666088,-0.144620626,-1.344968647,-3.891107946,8
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",-0.653029967,-0.731989741,-0.370051559,-0.493126734,-0.686014836,-2.934212837,7
51-9071.00,Jewelers and Precious Stone and Metal Workers,-0.515768087,-1.262508539,-0.125598412,-0.178022076,-0.495743406,-2.577640519,7
51-9071.06,Gem and Diamond Workers,-1.201825117,-1.54632479,0.022419281,-1.605470736,-0.213423032,-4.544624395,8
51-9081.00,Dental Laboratory Technicians,-0.465213006,-0.713549488,-0.446793832,-0.764389575,-0.66764532,-3.05759122,7
51-9082.00,Medical Appliance Technicians,-0.142828518,-0.802874425,-0.19632045,0.053670113,-0.485345956,-1.573699235,6
51-9083.00,Ophthalmic Laboratory Technicians,-1.087134855,-0.987966263,-0.139370798,-0.294209756,-1.433807851,-3.942489524,8
51-9111.00,Packaging and Filling Machine Operators and Tenders,-0.356928215,-0.480699595,-0.901304007,-0.824932517,-1.673944313,-4.237808647,8
51-9123.00,"Painting, Coating, and Decorating Workers",-1.194457717,-1.170614512,-0.107948825,0.60445243,-0.305317038,-2.173885662,7
51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-1.148986027,-1.247005905,-1.010229232,-0.501106719,-1.700312636,-5.607640518,9
51-9141.00,Semiconductor Processing Technicians,-0.545652648,-0.29417814,-0.373189466,-0.889989969,-1.123314731,-3.226324954,8
51-9151.00,Photographic Process Workers and Processing Machine Operators,-0.771491845,-0.370915936,0.184170006,0.141866931,-0.539297053,-1.355667897,6
51-9161.00,Computer Numerically Controlled Tool Operators,-0.178905038,-0.458438919,-0.952092018,-0.724913943,-1.962584393,-4.27693431,8
51-9162.00,Computer Numerically Controlled Tool Programmers,0.571740717,-0.318716791,-0.004697414,-0.575030339,-0.87953384,-1.206237667,6
51-9191.00,Adhesive Bonding Machine Operators and Tenders,-1.281077289,-1.044797283,-1.177245006,-0.448300948,-1.694414918,-5.645835445,9
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-0.939562659,-0.402485238,-0.629860721,0.433526681,-1.235187259,-2.773569196,7
51-9193.00,Cooling and Freezing Equipment Operators and Tenders,-0.808264913,-0.285510984,-0.642796761,-0.212292904,-1.031454722,-2.980320284,7
51-9194.00,Etchers and Engravers,-0.097230152,-0.745798491,-0.586475717,-0.116169568,-0.676091601,-2.221765529,7
51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",-0.868462956,-1.046850402,-0.868313013,-0.786734318,-1.524405536,-5.094766225,9
51-9195.03,"Stone Cutters and Carvers, Manufacturing",0.542520324,0.747620832,-1.273075205,-0.259934779,-1.726827941,-1.969696769,7
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",-1.122708852,-2.339047796,-0.545087545,-0.134241336,-1.363252583,-5.504338111,9
51-9195.05,"Potters, Manufacturing",-0.804363946,-1.726403535,-0.836799696,0.210184123,-0.552206368,-3.709589421,8
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",-0.761540774,0.217551001,-0.524927599,-0.614196231,-1.623526907,-3.306640509,8
51-9197.00,Tire Builders,-0.515465152,-0.559370888,-1.129750451,-0.830864651,-1.8386713,-4.874122442,9
51-9198.00,Helpers--Production Workers,-1.134363801,-1.078749423,-0.847547955,-0.169591952,-1.575818409,-4.80607154,9
53-1041.00,Aircraft Cargo Handling Supervisors,-0.320178475,1.023868913,-0.77016416,-0.295892109,-0.622379584,-0.984745416,6
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",-0.356577592,1.258314244,-0.496126017,-0.498940545,-0.441641572,-0.534971482,6
53-1042.01,Recycling Coordinators,0.262611058,1.264010247,-0.078238803,0.759945228,0.344562366,2.552890096,4
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,0.325806775,1.123477247,-0.304713837,-0.43429642,-0.40648586,0.303787905,5
53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",0.099561721,-0.455196172,-2.195254952,-1.11859128,-1.058301078,-4.72778176,9
53-2012.00,Commercial Pilots,-0.423086812,-0.244390233,-1.938905453,-0.311140659,-0.823828764,-3.741351921,8
53-2021.00,Air Traffic Controllers,0.471596967,-0.269389443,-0.037725975,-1.277484539,-0.183369273,-1.296372264,6
53-2022.00,Airfield Operations Specialists,-0.317667241,0.538495135,-0.970975085,-0.553909723,-0.206963593,-1.511020507,6
53-2031.00,Flight Attendants,-0.831887793,-0.916535885,0.270831245,-0.321772552,-0.145086738,-1.944451723,7
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.045048848,-0.569262695,-1.406630426,-0.407706476,0.05870281,-2.27984794,7
53-3031.00,Driver/Sales Workers,-0.946007367,-1.533691447,-1.420445233,-0.608852727,-0.574093834,-5.083090608,9
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,-0.538064792,-0.960543729,-1.836129278,0.180686371,-0.780786566,-3.934837994,8
53-3033.00,Light Truck Drivers,-0.800505884,-1.202635617,-1.458898099,0.355414679,-0.120421967,-3.227046888,8
53-3052.00,"Bus Drivers, Transit and Intercity",-0.958266681,-0.82117709,-1.846763949,-0.441717889,-0.772337348,-4.840262957,9
53-4011.00,Locomotive Engineers,-0.144902509,-0.345733889,-1.733970377,-0.497577509,-1.357220922,-4.079405206,8
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-0.416961122,0.384969556,-1.618861134,0.018100837,-0.967669696,-2.600421559,7
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",-0.870006397,-0.600170635,-1.258110211,-0.406172769,-1.008142464,-4.142602475,8
53-4031.00,Railroad Conductors and Yardmasters,-1.281073021,-0.908250899,-0.516663805,-0.559960549,-0.528083979,-3.794032253,8
53-4041.00,Subway and Streetcar Operators,-1.538705546,-0.937688528,-1.794740985,-1.588892083,-1.568431233,-7.428458375,10
53-5011.00,Sailors and Marine Oilers,-0.21542846,-0.161945794,-1.516634794,-0.414766596,-1.255342278,-3.564117922,8
53-5021.00,"Captains, Mates, and Pilots of Water Vessels",-0.345820889,0.380845724,-1.807855145,-0.041824853,-0.683244242,-2.497899406,7
53-5022.00,Motorboat Operators,-1.276364699,-0.424410482,-2.038820478,1.152323955,0.187965792,-2.399305912,7
53-5031.00,Ship Engineers,-0.583781685,-0.974507869,-0.906035519,0.432000741,-0.995582623,-3.027906954,7
53-6011.00,Bridge and Lock Tenders,-1.928193571,-0.606224964,-0.332373576,-0.073338006,-0.400490961,-3.340621079,8
53-6021.00,Parking Attendants,-1.469384441,-1.022384799,-1.211765814,-0.188940675,-0.47114682,-4.363622549,8
53-6031.00,Automotive and Watercraft Service Attendants,-0.584559033,-0.728895387,-1.217149749,-0.111827378,-0.863232451,-3.505663997,8
53-6041.00,Traffic Technicians,-0.145334794,-0.963909305,-0.348450313,-0.699227157,-0.218959629,-2.375881198,7
53-6051.00,Transportation Inspectors,0.088114119,-1.025794113,-0.054489724,-0.091796658,0.765137639,-0.318828736,6
53-6051.01,Aviation Inspectors,0.678033311,0.216317635,-0.632711214,-0.542534387,0.122527297,-0.158367358,5
53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",-1.514942881,-1.787915259,-0.739688986,-0.141956161,-0.476882927,-4.661386215,9
53-6061.00,Passenger Attendants,-2.099383172,-0.547649534,0.152674651,-0.00100172,0.711233705,-1.78412607,7
53-7011.00,Conveyor Operators and Tenders,-0.694891383,-0.46307572,-0.960756232,-0.038890388,-1.415660068,-3.573273792,8
53-7021.00,Crane and Tower Operators,-0.503868022,-0.587671134,-1.588429711,-0.150726779,-1.443920149,-4.274615796,8
53-7031.00,Dredge Operators,-0.869557123,-0.494651067,-1.239929553,0.874220825,-0.999133816,-2.729050733,7
53-7041.00,Hoist and Winch Operators,-0.644445387,-0.310947942,-1.572128041,-0.142332937,-1.998890299,-4.668744606,9
53-7051.00,Industrial Truck and Tractor Operators,-0.393022413,0.006205618,-1.819801598,-0.192052778,-1.397169929,-3.7958411,8
53-7061.00,Cleaners of Vehicles and Equipment,-2.038321549,-1.700553337,-0.75795551,0.143653402,-0.263556896,-4.616733891,9
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",-1.660089775,-1.186420721,-0.960712915,-0.308147248,-0.40515977,-4.520530429,8
53-7062.04,Recycling and Reclamation Workers,-1.326836523,-0.814356909,-1.127719023,0.847978503,-1.349556832,-3.770490784,8
53-7063.00,Machine Feeders and Offbearers,-1.901552665,-1.466574403,-0.310230293,-0.414878321,-1.458362357,-5.551598039,9
53-7064.00,"Packers and Packagers, Hand",-0.51913415,0.131938415,-0.492517451,-0.861739696,-0.932348772,-2.673801654,7
53-7065.00,Stockers and Order Fillers,-1.158194417,-0.620444823,-0.325125257,-0.601988921,-0.404790392,-3.11054381,7
53-7071.00,Gas Compressor and Gas Pumping Station Operators,-0.279734427,-0.583839699,-1.118712259,-0.035301062,-0.94189051,-2.959477957,7
53-7072.00,"Pump Operators, Except Wellhead Pumpers",0.432978816,-0.643764328,-1.083456735,-0.065969154,-0.931642187,-2.291853589,7
53-7073.00,Wellhead Pumpers,-0.019459421,-0.127301865,-0.858482485,0.579576441,-0.477643859,-0.903311189,6
53-7081.00,Refuse and Recyclable Material Collectors,-1.211836682,-1.271453169,-1.531300089,-0.24289811,-1.437837505,-5.695325555,9
53-7121.00,"Tank Car, Truck, and Ship Loaders",0.228718906,-0.357801645,-1.540700656,-0.903787274,-1.304794952,-3.878365622,8
